shop,coffee,price,walkability,rating,review
Argus Farm Stop,Drip,$$,Medium,4.5,"Local market and cafe featuring Michigan products and a comfortable place to stop for coffee."
Zingerman's Coffee Company,Espresso,$$,Low,4.7,"Local Ann Arbor coffee company offering roasted coffee and a destination-style experience."
Zingerman's Coffee Company,Latte,$$,Low,4.7,"Local Ann Arbor coffee company offering roasted coffee and a destination-style experience."
Zingerman's Coffee Company,Cold Brew,$$,Low,4.7,"Local Ann Arbor coffee company offering roasted coffee and a destination-style experience."
Zingerman's Coffee Company,Drip,$$,Low,4.7,"Local Ann Arbor coffee company offering roasted coffee and a destination-style experience."
Songbird Cafe,Espresso,$$,Medium,4.6,"Neighborhood cafe with espresso drinks, cold brew, pastries, and comfortable seating."
Songbird Cafe,Latte,$$,Medium,4.6,"Neighborhood cafe with espresso drinks, cold brew, pastries, and comfortable seating."
Songbird Cafe,Cold Brew,$$,Medium,4.6,"Neighborhood cafe with espresso drinks, cold brew, pastries, and comfortable seating."
Songbird Cafe,Drip,$$,Medium,4.6,"Neighborhood cafe with espresso drinks, cold brew, pastries, and comfortable seating."
Socotra Coffee House,Espresso,$$,Medium,4.6,"Neighborhood coffee house offering specialty coffee and a relaxed atmosphere."
Socotra Coffee House,Latte,$$,Medium,4.6,"Neighborhood coffee house offering specialty coffee and a relaxed atmosphere."
Socotra Coffee House,Cold Brew,$$,Medium,4.6,"Neighborhood coffee house offering specialty coffee and a relaxed atmosphere."
Socotra Coffee House,Drip,$$,Medium,4.6,"Neighborhood coffee house offering specialty coffee and a relaxed atmosphere."
Hazel Coffee Co.,Espresso,$$,Medium,4.5,"Neighborhood coffee shop offering specialty drinks in a comfortable local setting."
Hazel Coffee Co.,Latte,$$,Medium,4.5,"Neighborhood coffee shop offering specialty drinks in a comfortable local setting."
Hazel Coffee Co.,Cold Brew,$$,Medium,4.5,"Neighborhood coffee shop offering specialty drinks in a comfortable local setting."
Hazel Coffee Co.,Drip,$$,Medium,4.5,"Neighborhood coffee shop offering specialty drinks in a comfortable local setting."
Misfit Society Coffee Club,Espresso,$$,High,4.5,"Campus-area coffee club with specialty coffee and a comfortable social atmosphere."
Misfit Society Coffee Club,Latte,$$,High,4.5,"Campus-area coffee club with specialty coffee and a comfortable social atmosphere."
Misfit Society Coffee Club,Cold Brew,$$,High,4.5,"Campus-area coffee club with specialty coffee and a comfortable social atmosphere."
Misfit Society Coffee Club,Drip,$$,High,4.5,"Campus-area coffee club with specialty coffee and a comfortable social atmosphere."
Venue Coffee,Espresso,$$,Low,4.4,"Coffee shop on the south side offering specialty coffee and a convenient stop for drivers."
Venue Coffee,Latte,$$,Low,4.4,"Coffee shop on the south side offering specialty coffee and a convenient stop for drivers."
Venue Coffee,Cold Brew,$$,Low,4.4,"Coffee shop on the south side offering specialty coffee and a convenient stop for drivers."
Venue Coffee,Drip,$$,Low,4.4,"Coffee shop on the south side offering specialty coffee and a convenient stop for drivers."
Cupsnchai,Espresso,$$,High,4.5,"Cafe near campus offering coffee and chai with a casual atmosphere."
Cupsnchai,Latte,$$,High,4.5,"Cafe near campus offering coffee and chai with a casual atmosphere."
Cupsnchai,Cold Brew,$$,High,4.5,"Cafe near campus offering coffee and chai with a casual atmosphere."
Cupsnchai,Drip,$$,High,4.5,"Cafe near campus offering coffee and chai with a casual atmosphere."
Espresso Royale,Espresso,$,High,4.4,"Classic Ann Arbor coffee shop with affordable espresso drinks and a central location."
Espresso Royale,Latte,$,High,4.4,"Classic Ann Arbor coffee shop with affordable espresso drinks and a central location."
Espresso Royale,Cold Brew,$,High,4.4,"Classic Ann Arbor coffee shop with affordable espresso drinks and a central location."
Espresso Royale,Drip,$,High,4.4,"Classic Ann Arbor coffee shop with affordable espresso drinks and a central location."
Moka & Co,Espresso,$$,High,4.5,"Downtown cafe offering espresso drinks and a convenient location for coffee stops."
Moka & Co,Latte,$$,High,4.5,"Downtown cafe offering espresso drinks and a convenient location for coffee stops."
Moka & Co,Cold Brew,$$,High,4.5,"Downtown cafe offering espresso drinks and a convenient location for coffee stops."
Moka & Co,Drip,$$,High,4.5,"Downtown cafe offering espresso drinks and a convenient location for coffee stops."
Hayati Coffee,Espresso,$$,Medium,4.6,"Local coffee shop offering specialty coffee and a neighborhood atmosphere."
Hayati Coffee,Latte,$$,Medium,4.6,"Local coffee shop offering specialty coffee and a neighborhood atmosphere."
Hayati Coffee,Cold Brew,$$,Medium,4.6,"Local coffee shop offering specialty coffee and a neighborhood atmosphere."
Hayati Coffee,Drip,$$,Medium,4.6,"Local coffee shop offering specialty coffee and a neighborhood atmosphere."
1824 Cocktails & Coffee,Espresso,$$,High,4.4,"Downtown coffee and cocktail spot offering espresso drinks in a social atmosphere."
1824 Cocktails & Coffee,Latte,$$,High,4.4,"Downtown coffee and cocktail spot offering espresso drinks in a social atmosphere."
1824 Cocktails & Coffee,Cold Brew,$$,High,4.4,"Downtown coffee and cocktail spot offering espresso drinks in a social atmosphere."
1824 Cocktails & Coffee,Drip,$$,High,4.4,"Downtown coffee and cocktail spot offering espresso drinks in a social atmosphere."
Curious Coffee,Espresso,$$,High,4.5,"Downtown coffee shop offering specialty drinks in a convenient central location."
Curious Coffee,Latte,$$,High,4.5,"Downtown coffee shop offering specialty drinks in a convenient central location."
Curious Coffee,Cold Brew,$$,High,4.5,"Downtown coffee shop offering specialty drinks in a convenient central location."
Curious Coffee,Drip,$$,High,4.5,"Downtown coffee shop offering specialty drinks in a convenient central location."
Ann Arbor Coffee Roasting Company,Espresso,$$,High,4.5,"Local Ann Arbor coffee shop with roasted coffee and a convenient central location."
Ann Arbor Coffee Roasting Company,Latte,$$,High,4.5,"Local Ann Arbor coffee shop with roasted coffee and a convenient central location."
Ann Arbor Coffee Roasting Company,Cold Brew,$$,High,4.5,"Local Ann Arbor coffee shop with roasted coffee and a convenient central location."
Ann Arbor Coffee Roasting Company,Drip,$$,High,4.5,"Local Ann Arbor coffee shop with roasted coffee and a convenient central location."
Haraz Coffee House,Espresso,$$,High,4.6,"Coffee house offering espresso drinks and a welcoming downtown atmosphere."
Haraz Coffee House,Latte,$$,High,4.6,"Coffee house offering espresso drinks and a welcoming downtown atmosphere."
Haraz Coffee House,Cold Brew,$$,High,4.6,"Coffee house offering espresso drinks and a welcoming downtown atmosphere."
Haraz Coffee House,Drip,$$,High,4.6,"Coffee house offering espresso drinks and a welcoming downtown atmosphere."
Shinola Cafe,Espresso,$$,High,4.4,"Downtown cafe with comfortable seating and a stylish atmosphere."
Shinola Cafe,Latte,$$,High,4.4,"Downtown cafe with comfortable seating and a stylish atmosphere."
Shinola Cafe,Cold Brew,$$,High,4.4,"Downtown cafe with comfortable seating and a stylish atmosphere."
Shinola Cafe,Drip,$$,High,4.4,"Downtown cafe with comfortable seating and a stylish atmosphere."
Lab Cafe,Espresso,$$,High,4.5,"Creative cafe known for specialty drinks and a modern downtown atmosphere."
Lab Cafe,Latte,$$,High,4.5,"Creative cafe known for specialty drinks and a modern downtown atmosphere."
Lab Cafe,Cold Brew,$$,High,4.5,"Creative cafe known for specialty drinks and a modern downtown atmosphere."
Lab Cafe,Drip,$$,High,4.5,"Creative cafe known for specialty drinks and a modern downtown atmosphere."
